n	word	freq
101	w	3068
102	je	3010
103	z	2162
104	to	2095
105	i	2075
106	rok	1896
107	na	1598
108	sã	1351
109	do	1104
110	stolatégò	858
111	W	834
112	pò	754
113	ë	706
114	rodzëznë	678
115	a	673
116	téż	653
117	rokù	620
118	Je	596
119	są	526
120	òd	512
121	Christusa	479
122	naszi	470
123	narodzenim	465
124	dzesãcolecô	464
125	erë	464
126	abò	428
127	béł	354
128	nie	341
129	ò	330
130	drëdżégò	325
131	tësąclecô	314
132	L.	283
133	mòże	279
134	dlô	276
135	że	272
136	mô	264
137	wiele	263
138	przez	260
139	za	252
140	jak	249
141	XIX	236
142	Do	224
143	Òn	216
144	np	215
145	XVIII	211
146	ôrt	211
147	co	210
148	X	203
149	roscëna	196
150	bëła	192
151	kòl	186
152	bëc	182
153	roku	182
154	Na	180
155	jegò	177
156	tim	171
157	lëdzy	170
158	baro	169
159	kùńca	168
160	bëło	163
161	òn	161
162	ze	160
163	dniów	158
164	we	155
165	tësąclecégò	151
166	ni	149
167	r.	148
168	pierszégò	143
169	XV	141
170	jakno	141
171	tu	132
172	lat	130
173	ti	127
174	latach	126
175	ùr	125
176	mają	123
177	ji	122
178	To	120
179	Tu	119
180	tak	118
181	tegò	117
182	Òd	115
183	pòd	111
184	chtëren	110
185	bëłë	108
186	ale	106
187	gò	106
188	Jegò	105
189	le	105
190	jich	104
191	stalatégò	104
192	równak	103
193	ju	102
194	nad	102
195	Òna	102
196	Pò	99
197	bez	98
198	dosc	98
199	przë	98
200	Z	97
201	roscënë	97
202	mògą	95
203	chtërne	94
204	bò	93
205	szlach	92
206	òb	92
207	jaczi	91
208	òstôł	90
209	IX	89
210	miôł	88
211	ptôch	88
212	czas	87
213	kaszëbsczi	85
214	nim	83
215	òna	82
216	miono	80
217	Pòlsczi	79
218	czasu	77
219	czë	77
220	m.jin.	77
221	nich	77
222	m.	76
223	II	75
224	pòl	75
225	Pòlsce	73
226	dzél	73
227	wsë	73
228	chtërny	72
