word	freq
a	17387
w	14635
je	13517
so	8881
wot	8583
na	7526
z	6158
hač	5255
do	5185
su	5047
ze	4454
lěće	3871
ma	3614
swójby	3438
rostlina	3355
rostlinow	3250
lěta	3077
jako	2927
po	2632
za	2362
tež	2206
při	2040
abo	1980
sydlišćo	1809
wobydlerjow	1771
łopjena	1739
we	1686
cm	1665
bě	1565
k	1544
něhdźe	1544
prawa	1542
měšćanske	1522
załožiło	1455
bu	1196
dołhosć	1157
přez	1146
kćenja	1138
zo	1120
mjez	1088
jenož	984
kaž	983
leži	914
wón	912
kotrež	909
rosće	887
jeho	863
město	855
ród	813
stejnišćo	807
docpěwaja	788
mm	786
kotryž	757
ale	756
wysokosć	745
mjeno	743
kotraž	737
hišće	737
wopis	729
wjes	725
tak	720
wone	719
zwjetša	709
pak	695
měješe	694
docpěwa	673
m	620
toho	606
maja	591
płody	584
wona	574
hižo	568
wo	564
tysac	558
pod	557
nad	552
nimo	545
lětstotka	543
tym	541
prěni	530
to	525
łopješka	522
rozšěrjenje	517
běše	510
jich	505
steja	492
lětach	490
serbske	487
serbow	462
prěnje	461
docpěja	456
wokoło	448
jeje	443
dalše	441
łaćonsce	435
jara	429
pódy	428
sydło	427
štom	427
rěč	426
čas	423
raz	420
dźěl	409
často	408
tuž	399
słuša	398
šěrokosć	393
wjele	392
stawizny	390
dla	389
wjace	386
tam	386
rěče	384
rostliny	381
běchu	376
města	371
kilometrow	370
nimale	367
docpěje	366
lětstotku	363
lět	358
boku	355
wsy	354
kćěje	351
pola	347
mjeztym	340
naspomnjenje	340
serbski	339
dźensa	336
statistice	327
hładźinu	324
słódkich	323
mórskej	323
gmejna	321
poaceae	320
trawow	319
europje	307
někotre	305
wužiwanje	305
juhu	305
stej	302
tři	297
wobsteji	295
lěsach	295
pozdźišo	294
historiske	294
meje	291
pochadźa	288
wuchodźe	283
kosmate	283
budyšin	282
naspomni	282
kerk	279
njesu	278
zapadźe	277
hakle	277
rěči	275
dnja	272
stołpik	269
dźeń	269
běłe	267
nich	265
swójba	264
čimž	263
sewjeru	262
dokelž	260
př	258
kónca	256
před	256
metrow	255
tute	254
wosebje	251
kiž	248
junija	247
susodne	245
předewšěm	244
mukowej	241
družiny	241
dźensniše	240
preferuje	239
druhim	238
serbskeho	237
wjeski	236
potom	236
wobydlerstwa	236
znutřka	233
někotrych	232
apryla	231
łužicy	231
najwjetše	231
ke	230
kromach	228
zarjadniske	227
družina	223
družinow	222
móže	221
hdźež	221
wužiwa	221
namaka	220
ludowe	218
awgusta	218
kraja	216
dnjow	216
štyri	216
oktobra	215
dołhe	215
pjeć	213
łukach	213
strony	213
podźěl	213
króna	212
wobsahuje	211
jedyn	211
mjena	211
rozšěrjena	210
steji	209
kotrychž	208
cyłkownje	207
razej	207
njeje	206
septembra	204
druhe	203
přikład	201
dósta	201
stołpiki	201
prěnjemu	200
cyrkej	200
arnošt	200
protyki	200
serbskich	199
zelene	198
buchu	196
by	196
kćenjowe	195
najprjedy	194
gregorianiskeje	194
přestupnych	194
słowa	192
julija	192
wostawa	192
róžowych	192
suchich	191
měrca	191
gmejnje	190
radšo	190
dwě	190
rosaceae	189
křižnokwětnych	188
rěka	187
budyšinje	186
wšě	185
wulki	185
blisko	184
dźělu	184
husto	181
wulke	180
delnim	178
zaso	178
ludźi	176
němskej	175
serbskeje	175
nadeńdźe	174
městno	172
załoži	172
bjez	171
swoje	171
tu	171
njese	170
jan	169
rěčow	169
wulkosć	169
stołpikate	168
domowina	168
da	168
jedna	168
symjencowych	168
tutón	168
nimi	165
tohodla	164
južnej	164
wobydlerjemi	163
ruskeje	162
trawnikach	161
zdźěla	160
přećiwo	160
prjedy	160
podswójby	160
dale	159
dołho	159
času	159
sta	158
wobydlerstwo	157
černik	157
žórła	156
stolica	156
třoch	156
dwaj	156
płaći	155
samostatna	155
hałuzy	155
němskeje	154
hromadźe	154
wustupuje	153
kraj	153
słušeja	152
cyperaceae	152
zwěsći	152
kromje	152
syn	150
gmejny	149
tuta	149
januara	149
naspomniło	148
lěsnych	148
mjenom	147
zdobom	146
nakładnistwo	146
decembra	145
krónowe	145
tutym	145
spódku	145
druhich	145
štož	144
tróšku	143
zubate	143
dźěći	142
němsce	142
fabaceae	142
znowa	141
łušćinowcow	141
wosadźe	141
de	141
nalikowych	141
caryophyllaceae	141
brasicaceae	141
wužiwaja	140
sewjerozapadźe	140
mjezy	140
starobje	140
rězna	140
žołte	139
kotrejž	138
jednolětna	138
dźensnišeho	138
přeco	138
hornim	136
juhowuchodźe	136
jejkojte	136
sewjerowuchodźe	136
nowembra	135
běhu	134
wójnje	133
roda	133
nowe	132
nic	132
samo	131
eksistuja	130
juhozapadźe	130
šěsć	129
mějachu	129
narodźi	129
hranicy	128
žónske	128
swěće	128
móžeja	128
von	128
wutkate	127
předsyda	127
łopješkow	127
systematika	126
němcow	124
druhej	123
wjedźe	123
krótko	123
płód	122
budyšina	122
wapnite	122
hdyž	122
žiwjenje	122
někak	122
rěce	121
čłon	121
stat	121
rědko	120
nětko	120
pućach	120
žórłach	120
leža	119
nahe	118
formy	117
lěću	117
dweju	117
přećiwostejne	117
jemu	117
měsće	117
wjacore	117
jurij	116
jeli	116
sydom	116
běła	116
twori	116
wójny	116
milionow	116
lancetojte	116
spermatophyta	115
cyrkwje	115
suche	115
sylnje	115
kotrymž	114
słownik	114
srjedźnej	114
wjeska	113
februara	113
wšědna	113
čěskej	112
čerwjene	112
serbska	112
słowo	112
oblasći	111
małke	111
dwěmaj	111
sewjernej	111
owalne	111
najwjetši	111
kupy	111
cycawkowych	110
lamiaceae	110
hora	109
lěto	109
carex	109
forma	108
swojeje	108
swoju	108
horjeka	107
přestrjeń	107
městnach	107
swj	107
pomocu	107
muske	107
arnošta	106
kerčinach	106
ranunculaceae	106
róžojte	106
słušeše	106
mjenje	105
sakska	105
maslenkowych	104
europskim	104
studowaše	104
wokrjes	104
jednym	104
běži	104
sewjernje	104
zwjazk	104
dołhi	103
njejsu	103
jedne	103
republiki	103
spočatku	103
serbskej	102
skupiny	102
městnje	102
dospołnje	101
dźěle	101
rolach	101
wšak	101
knjejstwo	101
swojeho	101
nasta	101
prěnja	100
najwyši	100
wuchodnje	100
europy	100
być	99
tehdy	99
druhdy	99
wobsteja	98
podroda	98
formje	98
tomu	98
časa	98
němske	98
horinach	97
symjenja	97
samsnym	96
swójbje	96
ćmowozelene	96
wulka	96
dom	96
dwójce	96
delnje	95
dźesać	95
serbskim	95
rěznow	95
brjohach	95
stejnišćach	95
zrunane	95
wokrjesa	94
přisłušeja	94
kćenjow	94
podawki	93
sej	93
dźěło	93
skutkowaše	93
towarstwa	93
farar	93
čara	93
wopisanje	93
znajmjeńša	92
swětłych	92
morja	92
wšěch	92
woznamjenja	92
wutwori	92
włóžne	91
spisowaćel	91
połojcy	91
km	91
keluch	91
srjedźišćo	90
sobu	90
druhi	90
tuteje	90
rěki	89
wšědny	88
šuli	88
praze	88
tutej	88
ludličenju	88
orchidejowych	87
znaty	87
próškowe	87
wobwoda	87
orchidaceae	87
wody	86
cyrkwi	86
hory	86
južnje	86
dźěłaše	86
kulojte	86
błyšćace	86
bydlachu	86
bychu	86
njedaloko	86
dróha	85
wólbach	85
oblasć	85
wobsahuja	85
wysokosći	85
mała	84
wjacorych	84
dźěła	84
kosmata	84
łopjenow	84
prezident	84
wósom	84
rozšěrjene	84
měrje	84
nowy	83
bóle	83
přerěznej	83
kosmaty	83
wjesne	83
wučer	83
sam	83
keluškowe	83
jězor	83
kwětnistwo	82
eksistuje	82
potajkim	82
plantaginaceae	82
ju	82
muki	82
hodźa	82
podobna	82
sedźace	82
serbsce	82
młode	81
ličba	81
kóncu	81
nan	81
zeleny	81
wokrjesu	81
šulu	81
zemrě	81
geografija	80
pućowych	80
mjenow	80
skupina	80
cachorowowych	80
wužiwać	80
jewja	80
doby	80
plahuje	80
stata	80
hród	79
tworja	79
znate	79
regionje	79
ryćerkubło	79
rusojo	79
najčasćišo	79
ležownostne	79
wjeršk	79
kral	78
cyłej	78
kónčki	78
rozporach	78
wjesny	78
hornje	78
putnikowych	78
mały	77
woběmaj	77
zwjazkoweho	77
kraju	77
rozšěrjeny	77
južneje	77
dypk	77
formu	77
namakaja	76
mjenuje	76
nóžki	76
pjerite	76
wuda	76
tutoho	76
scrophulariaceae	75
nowa	75
jana	75
uniwersiće	75
domowiny	75
spočatk	75
mało	75
sakskej	75
hodźi	75
hłowne	75
žane	74
cachorowych	74
dotal	74
kupje	74
najbóle	74
deleka	73
teritorij	73
der	73
němskeho	73
resp	73
republice	73
rozdźělne	73
płoninach	73
towarstwo	73
přestrjeni	73
pódach	73
nima	72
hlej	72
posledni	72
runje	72
centrum	72
lětomaj	72
system	72
stare	72
němska	71
wažne	71
běły	71
swój	71
hłownje	71
słowow	71
trudownikowych	71
krótke	71
słabje	71
najskerje	71
sakskeje	71
sewjerneje	70
słónčnych	70
přewažnje	70
prawym	70
derje	70
druheje	70
ewangelscy	70
hornja	69
rajona	69
wustupuja	69
woda	69
brjoze	69
zahrodach	69
bazowe	69
wodu	68
němski	68
dźělow	68
horje	68
wulkich	68
tutych	68
najwjetša	67
němskim	67
ewangelskich	67
wótre	67
wysoki	67
žiwych	67
politikar	67
wróćo	67
čerwjena	67
lisćowych	66
stołpikowe	66
i	66
štyrjoch	66
jězora	66
lipsku	66
orobanchaceae	66
skora	66
sorty	66
